Time ,Voltage
1,-0.01
2,-0.01
3,-0.01
4,-0.01
5,-0.01
6,-0.01
7,-0.01
8,-0.01
9,-0.01
10,-0.01
11,-0.01
12,-0.01
13,-0.01
14,-0.01
15,-0.01
16,-0.01
17,-0.01
18,0.08
19,0.12
20,0.16
21,0.18
22,0.18
23,0.19
24,0.21
25,0.21
26,0.22
27,0.23
28,0.24
29,0.24
30,0.25
31,0.26
32,0.27
33,0.27
34,0.28
35,0.28
36,0.29
37,0.3
38,0.3
39,0.31
40,0.31
41,0.32
42,0.32
43,0.33
44,0.33
45,0.34
46,0.34
47,0.35
48,0.35
49,0.36
50,0.36
51,0.37
52,0.38
53,0.38
54,0.38
55,0.39
56,0.39
57,0.4
58,0.4
59,0.4
60,0.41
61,0.42
62,0.43
63,0.43
64,0.43
65,0.43
66,0.44
67,0.45
68,0.45
69,0.45
70,0.46
71,0.46
72,0.47
73,0.47
74,0.47
75,0.48
76,0.49
77,0.49
78,0.49
79,0.5
80,0.5
81,0.51
82,0.51
83,0.52
84,0.52
85,0.52
86,0.53
87,0.54
88,0.54
89,0.54
90,0.55
91,0.55
92,0.56
93,0.56
94,0.56
95,0.57
96,0.57
97,0.58
98,0.58
99,0.59
100,0.59
101,0.59
102,0.6
103,0.6
104,0.61
105,0.61
106,0.62
107,0.62
108,0.63
109,0.63
110,0.63
111,0.64
112,0.64
113,0.64
114,0.65
115,0.65
116,0.65
117,0.66
118,0.67
119,0.67
120,0.67
121,0.68
122,0.68
123,0.69
124,0.69
125,0.7
126,0.7
127,0.7
128,0.71
129,0.71
130,0.72
131,0.72
132,0.72
133,0.73
134,0.73
135,0.74
136,0.74
137,0.74
138,0.75
139,0.75
140,0.76
141,0.76
142,0.77
143,0.77
144,0.77
145,0.77
146,0.78
147,0.79
148,0.79
149,0.79
150,0.8
151,0.8
152,0.8
153,0.81
154,0.81
155,0.81
156,0.81
157,0.82
158,0.82
159,0.83
160,0.83
161,0.83
162,0.84
163,0.84
164,0.85
165,0.85
166,0.86
167,0.86
168,0.86
169,0.87
170,0.87
171,0.87
172,0.88
173,0.88
174,0.88
175,0.88
176,0.89
177,0.89
178,0.89
179,0.9
180,0.9
181,0.91
182,0.91
183,0.91
184,0.92
185,0.92
186,0.92
187,0.93
188,0.93
