Time ,Voltage
1,-0.02
2,-0.02
3,-0.01
4,-0.01
5,-0.02
6,-0.01
7,-0.02
8,-0.02
9,-0.02
10,-0.01
11,-0.01
12,-0.02
13,-0.02
14,-0.01
15,-0.01
16,-0.02
17,-0.01
18,-0.01
19,-0.02
20,-0.02
21,-0.02
22,-0.01
23,-0.01
24,0.11
25,0.15
26,0.19
27,0.21
28,0.22
29,0.24
30,0.25
31,0.26
32,0.27
33,0.28
34,0.29
35,0.3
36,0.31
37,0.31
38,0.32
39,0.33
40,0.33
41,0.34
42,0.35
43,0.36
44,0.36
45,0.37
46,0.38
47,0.38
48,0.4
49,0.4
50,0.41
51,0.42
52,0.43
53,0.43
54,0.43
55,0.44
56,0.45
57,0.45
58,0.46
59,0.46
60,0.47
61,0.47
62,0.48
63,0.49
64,0.49
65,0.5
66,0.51
67,0.52
68,0.52
69,0.52
70,0.53
71,0.53
72,0.54
73,0.55
74,0.55
75,0.56
76,0.56
77,0.57
78,0.57
79,0.58
80,0.59
81,0.59
82,0.6
83,0.6
84,0.61
85,0.61
86,0.62
87,0.62
88,0.63
89,0.64
90,0.64
91,0.64
92,0.65
93,0.66
94,0.66
95,0.67
96,0.67
97,0.68
98,0.68
99,0.69
100,0.7
101,0.7
102,0.7
103,0.71
104,0.72
105,0.72
106,0.72
107,0.73
108,0.74
109,0.74
110,0.74
111,0.75
112,0.76
113,0.76
114,0.77
115,0.77
116,0.77
117,0.78
118,0.79
119,0.79
120,0.79
121,0.8
122,0.81
123,0.81
124,0.81
125,0.82
126,0.82
127,0.83
128,0.83
129,0.83
130,0.84
131,0.85
132,0.85
133,0.86
134,0.86
135,0.87
136,0.87
137,0.88
138,0.88
139,0.89
140,0.89
141,0.9
142,0.9
143,0.9
144,0.91
145,0.91
146,0.92
147,0.92
148,0.92
149,0.93
150,0.93
151,0.93
152,0.94
153,0.95
154,0.95
155,0.95
156,0.96
